short_name,long_name,nationality,club
K. Shelton,Khiry Shelton,United States,SC Paderborn 07
K. Anderson,Keshi Anderson,England,Swindon Town
M. Khubrani,Mohammed Abdu Khubrani,Saudi Arabia,Al Ahli
L. Grace,Lee Grace,Republic of Ireland,Shamrock Rovers
T. Phete,Thibang Phete,South Africa,Famalicão
F. Tingager,Frederik Tingager,Denmark,Aarhus GF
S. Ibeagha,Sebastien Uchechukwu Ibeagha,United States,New York City FC
Rafa de Vicente,Rafael de Vicente Hdez,Spain,Racing Santander
S. Skålevik,Steffen Lie Skålevik,Norway,Sarpsborg 08 FF
A. Nedyalkov,Anton Nedyalkov,Bulgaria,Bulgaria
F. Gytkjær,Frederik Gytkjær,Denmark,Lyngby BK
F. Margiotta,Francesco Margiotta,Italy,FC Luzern
A. Arroyo,Abdiel Arroyo Molinar,Panama,Newcastle Jets
G. Iancu,Gabriel Cristian Iancu,Romania,FC Viitorul
F. Barceló,Facundo Barceló,Uruguay,Club Atlas
H. Mancilla,Harrison Mancilla,Colombia,Cúcuta Deportivo
F. Flórez,Freddy Alexander Flórez Carrillo,Colombia,Alianza Petrolera
N. Hansen,Niko Hansen,Denmark,Houston Dynamo
T. Inukai,犬饲 智也,Japan,Kashima Antlers
S. Mai,Sebastian Mai,Germany,Hallescher FC
J. Hernández,Jesús Hernández,Venezuela,Audax Italiano
J. Adebanjo,Jacob Adebanjo,Nigeria,Sepsi OSK
L. Justiniano,Leonel Justiniano,Bolivia,Bolivia
W. Semedo,Willy Semedo,France,Grenoble Foot 38
A. Kubalas,Alihan Kubalas,Turkey,MKE Ankaragücü
S. Condé,Sékou Condé,Guinea,La Berrichonne de Châteauroux
Y. Suzuki,Yoshinori Suzuki,Japan,Oita Trinita
M. Popescu,Mihai Popescu,Romania,Dinamo Bucureşti
U. Bonnet,Ugo Bonnet,France,Rodez Aveyron Football
Lucas Xavier,Lucas Da Silva Xavier,Brazil,FC Juárez
N. Pavan,Nicola Pavan,Italy,Cittadella
L. Garbutt,Luke Garbutt,England,Ipswich Town
O. Banks,Ollie Banks,England,Tranmere Rovers
J. Kempin,Jon Kempin,United States,Columbus Crew SC
C. Winchester,Carl Winchester,Northern Ireland,Forest Green Rovers
S. Calvano,Simone Calvano,Italy,Hellas Verona
A. O'Connor,Anthony O'Connor,Republic of Ireland,Bradford City
J. Husband,James Husband,England,Blackpool
C. Dunne,Charles Dunne,Republic of Ireland,Motherwell
S. Gündüz,Selim Gündüz,Germany,KFC Uerdingen 05
E. Fryers,Ezekiel Fryers,England,Swindon Town
M. Lampson,Matt Lampson,United States,LA Galaxy
P. Keita,Paul Fadiala Keita,Senegal,Waasland-Beveren
Moon Chang Jin,문창진 文昶辰,Korea Republic,Incheon United FC
R. Edwards,Ryan Edwards,England,Blackpool
M. Fox,Morgan Fox,Wales,Sheffield Wednesday
C. Lavery,Caolan Lavery,Northern Ireland,Walsall
A. Winkler,Alexander Winkler,Germany,SpVgg Unterhaching
J. Mostasilla,Johnny Javier Mostacilla Ceballos,Colombia,Deportes Tolima
M. Jorquera,Marcelo Jorquera,Chile,CD Cobresal
J. Ávila,Jonathan Ávila Martínez,Colombia,Atlético Bucaramanga
Lei Tenglong,雷腾龙,China PR,Beijing Sinobo Guoan FC
M. Aramu,Mattia Aramu,Italy,Venezia FC
M. Al Saiari,Mohammed Al Saiari,Saudi Arabia,Al Wehda
Sim Sang Min,심상민 沈相民,Korea Republic,Pohang Steelers
Kim Yong Hwan,김용환 金永焕,Korea Republic,Pohang Steelers
Erivaldo,Erivaldo Jorge Paulo Ferreira,Portugal,Clube Sport Marítimo
F. David,Florian David,France,FC Chambly Oise
Bi Jinhao,毕津浩,China PR,Shanghai Greenland Shenhua FC
Ygor Nogueira,Ygor Nogueira de Paula,Brazil,Gil Vicente FC
S. Buș,Sergiu Florin Buș,Romania,Gaz Metan Mediaş
Jeong Hyun Cheol,정현철 荣炫澈,Korea Republic,FC Seoul
L. Görtler,Lukas Görtler,Germany,FC St. Gallen
S. van Wermeskerken,Sai van Wermeskerken,Japan,PEC Zwolle
A. Öztürk,Alim Öztürk,Turkey,Sunderland
R. Gojani,Robert Gojani,Sweden,IF Elfsborg
J. Ríos,Juan David Ríos Henao,Colombia,Alianza Petrolera
J. Chabalala,Justice Chabalala,South Africa,Orlando Pirates
B. Kallman,Brent Kallman,United States,Minnesota United FC
T. Arano,荒野 拓馬,Japan,Hokkaido Consadole Sapporo
Lim Chan Wool,임찬울 林昌宇,Korea Republic,Jeju United FC
S. Jakubiak,Sebastian Jakubiak,Germany,Heracles Almelo
C. Tilt,Curtis Tilt,England,Blackpool
A. De Bruyn,Alexandre De Bruyn,Belgium,Sint-Truidense VV
M. Naamani,Mohamed Naamani,Algeria,Al Fateh
K. Shirai,白井 康介,Japan,Hokkaido Consadole Sapporo
A. Marc,Andrei Marc,Romania,FCSB (Steaua)
F. Oswald,Ferdinand Oswald,Germany,WSG Tirol
T. Petrášek,Tomáš Petrášek,Czech Republic,Raków Częstochowa
M. Oxley,Mark Oxley,England,Southend United
J. González,Jairo Daniel González Fajardo,Mexico,Club Necaxa
C. Main,Curtis Main,England,Aberdeen
H. Akpan,Hope Akpan,Nigeria,Bradford City
T. Konrad,Thomas Konrad,Germany,VfL Osnabrück
S. Jakobsen,Simon Jakobsen,Denmark,Silkeborg IF
A. Wildig,Aaron Wildig,England,Morecambe
O. Beckles,Omar Beckles,England,Shrewsbury
M. Cestor,Mike Cestor,DR Congo,CFR Cluj
N. Çiftçi,Nadir Çiftçi,Turkey,Gençlerbirliği SK
G. Allison,Guillermo Allison Revuelta,Mexico,Cruz Azul
M. Gollner,Manfred Gollner,Austria,Wolfsberger AC
C. Dikamona,Clévid Dikamona,Congo,Heart of Midlothian
S. Galindo,Samuel Galindo Suheiro,Bolivia,Bolivia
C. Routis,Christopher Routis,France,Servette FC
T. Eastman,Tom Eastman,England,Colchester United
M. Hernandez,Moises Hernandez,Guatemala,FC Dallas
G. Beretta,Giacomo Beretta,Italy,Ascoli
Yi Teng,弋腾,China PR,Guangzhou R&F FC
J. Bendik,Joe Bendik,United States,Philadelphia Union
E. Ebanks-Landell,Ethan Ebanks-Landell,England,Shrewsbury
F. Ardizzone,Francesco Ardizzone,Italy,Virtus Entella
N. Mezquida,Nicolás Mezquida,Uruguay,Colorado Rapids
J. Riley,Joe Riley,England,Plymouth Argyle
E. Harrison,Ellis Harrison,Wales,Portsmouth
L. Isgrove,Lloyd Isgrove,Wales,Swindon Town
P. Delecroix,Paul Delecroix,France,FC Metz
O. Cissé,Ousseynou Cissé,Mali,Gillingham
N. Devlin,Nicky Devlin,Scotland,Livingston FC
J. Sternberg,Janek  Sternberg,Germany,1. FC Kaiserslautern
P. Breier,Pascal Breier,Germany,FC Hansa Rostock
J. Caprice,Jake Caprice,England,Tranmere Rovers
S. Rodríguez,Sebastián Javier Rodríguez Iriarte,Uruguay,Tiburones Rojos de Veracruz
P. Wiegers,Patrick Wiegers,Germany,SG Dynamo Dresden
Bruno,Bruno Ferreira V. Diniz,Brazil,Gil Vicente FC
J. Phojo,Jérôme Phojo,France,Clermont Foot 63
G. Dequaire,Guillaume Dequaire,France,FC Chambly Oise
P. Sané,Pape Sané,Senegal,Rodez Aveyron Football
C. Irwin,Clint Irwin,United States,Colorado Rapids
H. Gómez,Harold Andrés Gómez Muñoz,Colombia,Atlético Bucaramanga
D. Diring,Dorian Diring,France,SV Waldhof Mannheim
M. Gouaida,Mohamed Gouaida,Tunisia,SV Waldhof Mannheim
E. Pérez,Eduardo Pérez,Mexico,FC Juárez
M. Blázquez,Matías Javier Blázquez Lavín,Chile,Deportes Iquique
D. González,Dairin González Mosquera,Colombia,Unión Magdalena
Luis Ruiz,Luis Ruiz Sayago,Spain,Deportivo de La Coruña
Peu,Peterson Silvino da Cruz,Brazil,CD Aves
M. Simonovski,Marko Simonovski,FYR Macedonia,Sepsi OSK
S. Abdul-Salaam,Saad Abdul-Salaam,United States,Seattle Sounders FC
A. Vita,Alessio Vita,Italy,Cittadella
C. Jakobsen,Christian Jakobsen,Denmark,SønderjyskE
Pablo,Pablo Diogo Lopes de Lima,Brazil,Santa Clara
J. Hopcutt,Jamie Hopcutt,England,Östersunds FK
E. Ibargüen,Edis Ibargüen,Colombia,Once Caldas
F. Herbers,Fabian Herbers,Germany,Chicago Fire
S. Inagaki,稻垣 祥,Japan,Sanfrecce Hiroshima
J. Soto,Jaime Soto Kaempfer,Chile,Coquimbo Unido
Y. Nogami,野上 結貴,Japan,Sanfrecce Hiroshima
O. Gnjatić,Ognjen Gnjatić,Bosnia Herzegovina,Korona Kielce
A. Dej,André Dej,Poland,Viktoria Köln
P. Sohm,Pascal Sohm,Germany,Hallescher FC
M. Dombrowka,Max Dombrowka,Germany,SpVgg Unterhaching
Néstor Albiach,Néstor Albiach Roger,Spain,CD Numancia
H. Delbridge,Harrison Delbridge,Australia,Melbourne City FC
K. Nakamura,中村 慶太,Japan,Shimizu S-Pulse
F. Ourega,Fabien Ourega,France,FC Sochaux-Montbéliard
S. Finley,Sam Finley,England,Accrington Stanley
T. Ishihara,石原 崇兆,Japan,Vegalta Sendai
H. Memolla,Hysen Memolla,Albania,US Salernitana 1919
R. Fuenzalida,Ricardo Fuenzalida,Chile,Audax Italiano
P. Bardy,Pierre Bardy,France,Rodez Aveyron Football
D. Stipica,Dante Stipica,Croatia,Pogoń Szczecin
S. Nurković,Samir Nurković,Serbia,Kaizer Chiefs
F. Kippe,Frode Kippe,Norway,Lillestrøm SK
H. Opdal,Håkon Eikemo Opdal,Norway,SK Brann
J. Bothroyd,Jay Bothroyd,England,Hokkaido Consadole Sapporo
P. Brożek,Paweł Brożek,Poland,Wisła Kraków
M. Langer,Michael Langer,Austria,FC Schalke 04
L. Feeney,Liam Feeney,England,Blackpool
A. Lonergan,Andrew Lonergan,England,Liverpool
R. König,Ronny König,Germany,FSV Zwickau
S. Andersen,Stephan Maigaard Andersen,Denmark,FC København
R. Vitiello,Roberto Vitiello,Italy,Castellammare di Stabia
A. Butler,Andy Butler,England,Scunthorpe United
A. Bunjaku,Albert Bunjaku,Kosovo,Viktoria Köln
S. Ağçay,Sedat Ağçay,Turkey,MKE Ankaragücü
C. Frăsinescu,Cosmin Frăsinescu,Romania,Politehnica Iaşi
S. Peszko,Sławomir Peszko,Poland,Lechia Gdańsk
A. Danielsen,André Danielsen,Norway,Viking FK
K. Arkivuo,Kari Arkivuo,Finland,BK Häcken
F. Mader,Florian Mader,Austria,WSG Tirol
S. Brown,Scott Brown,England,Port Vale
G. Zakuani,Gabriel Zakuani,DR Congo,Gillingham
O. Occéan,Olivier Occéan,Canada,Mjøndalen IF
M. Roman,Mihai Roman,Romania,FCSB (Steaua)
V. Demidov,Vadim Demidov,Norway,Stabæk Fotball
J. Szmatuła,Jakub Szmatuła,Poland,Piast Gliwice
P. Nymann,Peter Nymann Mikkelsen,Denmark,AC Horsens
T. Černý,Tomáš Černý,Czech Republic,Aberdeen
M. Mills,Matthew Mills,England,Forest Green Rovers
A. El-Abd,Adam Mohamad El-Abd,Egypt,Wycombe Wanderers
A. Akinfenwa,Adebayo Akinfenwa,England,Wycombe Wanderers
Y. Abe,阿部 勇樹,Japan,Urawa Red Diamonds
I. Vázquez,Edmundo Iván Vázquez Mellado Pérez,Mexico,FC Juárez
M. Hernández,Edgar Melitón Hernández Cabrera,Mexico,Tiburones Rojos de Veracruz
J. Mackie,Jamie Mackie,Scotland,Oxford United
D. Edwards,David Edwards,Wales,Shrewsbury
R. Gartler,René Gartler,Austria,SKN St. Pölten
H. Drost,Henrico Drost,Netherlands,RKC Waalwijk
C. Doyle,Colin Doyle,Republic of Ireland,Heart of Midlothian
M. Caranta,Mauricio Ariel Caranta,Argentina,Club Atlético Talleres
S. Cox,Simon Cox,Republic of Ireland,Southend United
L. Varney,Luke Varney,England,Cheltenham Town
F. Cosenza,Francesco Cosenza,Italy,Lecce
S. Darbion,Stéphane Darbion,France,ESTAC Troyes
C. Morgan,Craig Morgan,Wales,Fleetwood Town
T. McMahon,Anthony McMahon,England,Oxford United
R. Boukari,Abdoulrazak Boukari Fafadji,Togo,La Berrichonne de Châteauroux
M. Done,Matt Done,Wales,Rochdale
M. Al Shalhoub,Mohammad Bander Al Shalhoub,Saudi Arabia,Al Hilal
G. Karanović,Goran Karanović,Switzerland,Sepsi OSK
J. Martins Pereira,Jonathan Martins Pereira,France,FC Lorient
M. O'Connor,Michael O'Connor,Northern Ireland,Lincoln City
R. Griffiths,Rostyn Griffiths,Australia,Melbourne City FC
C. Woods,Calum Woods,England,Tranmere Rovers
J. Grounds,Jonathan Grounds,England,Birmingham City
G. Liddle,Gary Liddle,England,Walsall
J. Brown,Junior Brown,England,Coventry City
S. Gleeson,Stephen Gleeson,Republic of Ireland,Aberdeen
S. Golbourne,Scott Golbourne,England,Shrewsbury
G. Faivre,Guillaume Faivre,Switzerland,FC Thun
E. Palos,Enrique Eduardo Palos Reyes,Mexico,FC Juárez
M. Yıldırım,Murat Yıldırım,Turkey,Yeni Malatyaspor
D. Semenzato,Daniel Semenzato,Italy,Pordenone
A. Lienhart,Andreas Lienhart,Austria,TSV Hartberg
Aitor,Aitor Fernández López,Spain,Extremadura UD
R. Zelaya,Rodolfo Antonio Zelaya García,El Salvador,Los Angeles FC
L. Stevenson,Lewis Stevenson,Scotland,Hibernian
S. Luchin,Srgian Luchin,Romania,FC Hermannstadt
T. Röttger,Timo Röttger,Germany,SG Sonnenhof Großaspach
Z. Zlámal,Zdeněk Zlámal,Czech Republic,Heart of Midlothian
L. Figueroa,Luis Pedro Figueroa Sepúlveda,Chile,CD Universidad de Concepción
F. Assmann,Walter Fabián Assmann,Argentina,Club Atlético Aldosivi
A. Raineau,Alexandre Raineau,France,La Berrichonne de Châteauroux
E. Brambila,Edy Germán Brambila Rosales,Mexico,FC Juárez
C. Gönen,Cenk Gönen,Turkey,Málaga CF
C. Kum,Christian Kum,Germany,VVV-Venlo
D. Bassi,Davide Bassi,Italy,Spezia
A. Paolucci,Andrea Paolucci,Italy,Virtus Entella
G. Sarmov,Georgi Zdravkov Sarmov,Bulgaria,Chemnitzer FC
D. Worrall,David Worrall,England,Port Vale
D. Perkins,David Perkins,England,Tranmere Rovers
O. Bozanic,Oliver Bozanić,Australia,Heart of Midlothian
Isidoro,José Isidoro Gómez Torres,Spain,FK Bodø/Glimt
N. Topor-Stanley,Nikolai Topor-Stanley,Australia,Newcastle Jets
A. Hainault,André Hainault,Canada,1. FC Kaiserslautern
M. Almebäck,Michael Almebäck,Sweden,Örebro SK
D. Bouzanis,Dean Bouzanis,Australia,Melbourne City FC
N. Boogaard,Nigel Boogaard,Australia,Newcastle Jets
A. Lukse,Andreas Lukse,Austria,1. FC Nürnberg
Wu Yan,吴龑,China PR,Henan Jianye FC
Yang Xu,杨旭,China PR,Tianjin Quanjian FC
N. Bishop,Neal Bishop,England,Mansfield Town
Zhang Wenzhao,张文钊,China PR,Beijing Renhe FC
Sui Donglu,隋东陆,China PR,Henan Jianye FC
T. Gebhart,Timo Gebhart,Germany,TSV 1860 München
J. Leutwiler,Jayson Leutwiler,Canada,Blackburn Rovers
J. Jacobson,Joe Jacobson,Wales,Wycombe Wanderers
Y. Amankwah,Yaw Amankwah,Norway,Stabæk Fotball
A. Ogogo,Abumere Tafadzwa Ogogo,England,Bristol Rovers
A. Stolz,Alexander Stolz,Germany,TSG 1899 Hoffenheim
S. Mölders,Sascha Mölders,Germany,TSV 1860 München
D. Gorter,Donny Gorter,Netherlands,ADO Den Haag
Song Jin Hyung,송진형 宋金亨,Korea Republic,FC Seoul
L. Schwechlen,Léo Schwechlen,France,Göztepe SK
M. Gliwa,Michał Gliwa,Poland,Raków Częstochowa
A. Dyer,Alex James Dyer,Montserrat,IF Elfsborg
Aquino,Daniel Aquino Pintos,Spain,Piast Gliwice
N. Bärkroth,Nicklas Bärkroth,Sweden,Djurgårdens IF
J. Akinde,John Akinde,England,Lincoln City
B. Webster,Byron Webster,England,Carlisle United
R. Flynn,Ryan Flynn,Scotland,St. Mirren
J. Mellis,Jacob Mellis,England,Mansfield Town
J. Ryan,Jimmy Ryan,Republic of Ireland,Rochdale
C. Dielna,Claude Dielna,France,Portland Timbers
L. Gerson,Lars Christian Krogh Gerson,Luxembourg,IFK Norrköping
O. Mendoza,Omar Israel Mendoza Martín,Mexico,Club Tijuana
C. Gutiérrez,Carlos Alberto Gutiérrez Armas,Mexico,Tiburones Rojos de Veracruz
R. Ruiz,Richard Ruíz Toledo,Mexico,Deportivo Toluca
L. Sercombe,Liam Sercombe,England,Bristol Rovers
K. Conboy,Kevin Conboy,Denmark,Randers FC
M. Pedersen,Marc Pedersen,Denmark,SønderjyskE
L. Pérez,Luis Ernesto Pérez Martínez,Mexico,Club Necaxa
M. Buchalik,Michał Buchalik,Poland,Wisła Kraków
E. Schreiner,Emanuel Schreiner,Austria,SCR Altach
T. Mickel,Tom Mickel,Germany,Hamburger SV
A. Smárason,Arnór Smárason,Iceland,Lillestrøm SK
P. Madden,Paddy Madden,Republic of Ireland,Fleetwood Town
J. Mills,Joseph Mills,England,Forest Green Rovers
D. Templeton,David Templeton,Scotland,Burton Albion
M. Marshall,Mark Marshall,Jamaica,Gillingham
R. McGowan,Ryan McGowan,Australia,Sydney FC
M. Minesso,Mattia Minesso,Italy,Pisa
J. Brayford,John Brayford,England,Burton Albion
M. Abdellaoue,Mustafa Abdellaoue,Norway,Sarpsborg 08 FF
S. Ringstad,Stian Ringstad,Norway,FK Haugesund
K. Tokstad,Kristoffer Tokstad,Norway,Strømsgodset IF
M. Bolly,Mathis Gazoa  Kippersund Bolly,Ivory Coast,Molde FK
J. Obika,Jonathan Chiedozie Obika,England,St. Mirren
Yazalde,Yazalde  Gomes Pinto,Guinea Bissau,FC Hermannstadt
Q. Amarikwa,Quincy Obina Amarikwa,United States,DC United
Jeong Hyuk,정혁 张赫,Korea Republic,Jeonbuk Hyundai Motors
Y. Pehlivan,Yasin Pehlivan,Austria,Gençlerbirliği SK
A. Matuszczyk,Adam Matuszczyk,Poland,KFC Uerdingen 05
L. Novak,Lee Novak,England,Scunthorpe United
Steven Vitória,Steven de Sousa Vitória,Canada,Moreirense FC
M. Carretta,Mirko Carretta,Italy,Cosenza
G. Kuświk,Grzegorz Kuświk,Poland,Wisła Płock
D. Mayor,Danny Mayor,England,Plymouth Argyle
P. Tomasik,Piotr Tomasik,Poland,Wisła Płock
A. Taylor,Ash Taylor,Wales,Aberdeen
M. Lund,Matty Lund,Northern Ireland,Scunthorpe United
K. Bennett,Kyle Bennett,England,Bristol Rovers
A. Gerbo,Alberto Gerbo,Italy,Ascoli
F. Nouble,Frank Nouble,England,Colchester United
P. Branduani,Paolo Branduani,Italy,Castellammare di Stabia
G. Misuraca,Gianvito Misuraca,Italy,Pordenone
L. Brown,Lee Brown,England,Portsmouth
N. Miatke,Nils Miatke,Germany,FSV Zwickau
T. Parkes,Tom Parkes,England,Exeter City
D. Di Quinzio,Davide Di Quinzio,Italy,Pisa
D. Amoo,David Amoo,England,Port Vale
U. Bangura,Umaru Bangura,Sierra Leone,FC Zürich
M. Fayez,Mohammed Fayez,United Arab Emirates,Al Ain FC
J. Davidson,Jason  Davidson,Australia,Ulsan Hyundai FC
M. Lorentzson,Martin Olof Lorentzson,Sweden,Örebro SK
E. Alexander,Eric Alexander,United States,FC Dallas
S. Sinovic,Seth Sinovic,United States,Sporting Kansas City
J. Jervis,Jake Jervis,England,Luton Town
Wang Gang,王刚,China PR,Beijing Sinobo Guoan FC
V. Prodell,Viktor Prodell,Sweden,Örebro SK
Yang Jun A,양준아 梁准我,Korea Republic,Incheon United FC
P. Salomon,Patrick Salomon,Austria,SV Mattersburg
D. Escalante,Dionicio Manuel Escalante Moreno,Mexico,Atlético de San Luis
M. Novak,Michael Novak,Austria,Wolfsberger AC
J. Bertilsson,Johan Bertilsson,Sweden,Örebro SK
T. Öztürk,Tanju Öztürk,Germany,FC Hansa Rostock
M. Răduț,Mihai Răduț,Romania,Astra Giurgiu
Fran Cruz,Francisco Pablo Cruz Torres,Spain,Extremadura UD
S. Lawless,Steven Lawless,Scotland,Livingston FC
M. Schulze Niehues,Maximilian Schulze Niehues,Germany,SC Preußen Münster
M. Chergui,Malek Chergui,France,Valenciennes FC
D. Tadić,Dario Tadić,Austria,TSV Hartberg
S. McLaughlin,Stephen McLaughlin,Republic of Ireland,Southend United
Alvaro Rey,Álvaro Rey Vázquez,Spain,CD Mirandés
M. Doughty,Michael Doughty,Wales,Swindon Town
K. Larsen,Kristoffer  Knudsen Larsen,Norway,Sarpsborg 08 FF
R. Riski,Roope Riski,Finland,SKN St. Pölten
Lee Woong Hee,이웅희 李雄熙,Korea Republic,FC Seoul
E. Tønne,Erik Tønne,Norway,Ranheim Fotball
M. Pfitzner,Marc Pfitzner,Germany,Eintracht Braunschweig
A. Bruno,Alessandro Bruno,Italy,Pescara
L. Burnet,Lorenzo Burnet,Netherlands,FC Emmen
D. Drescher,Daniel Drescher,Austria,SKN St. Pölten
S. Scheimann,Samuel Benjamin Elias Scheimann,Israel,VVV-Venlo
D. Maatsen,Darren Maatsen,Netherlands,RKC Waalwijk
R. Jackson,Ryan Jackson,England,Colchester United
S. Jombati,Sido Jombarti,Portugal,Wycombe Wanderers
I. Ouédraogo,Issiaka Ouédraogo,Burkina Faso,SKN St. Pölten
L. Droppa,Lukáš Droppa,Czech Republic,Gaz Metan Mediaş
S. Benyamina,Soufian Benyamina,Germany,Pogoń Szczecin
Adrià Gallego,Adrià Gallego Arias,Spain,Politehnica Iaşi
L. Olum,Lawrence Olum,Kenya,Minnesota United FC
N. Hasler,Nicolas Hasler,Liechtenstein,Sporting Kansas City
J. Valencia,José Valencia,Colombia,Central Córdoba
A. Koro Koné,Ahmed Issa Koro Koné,Ivory Coast,Servette FC
W. Creavalle,Warren Creavalle,Guyana,Philadelphia Union
C. Jennings,Connor Jennings,England,Tranmere Rovers
L. Grozurek,Lukas Grozurek,Austria,Karlsruher SC
P. Tuszyński,Patryk Tuszyński,Poland,Zagłębie Lubin
M. Mak,Michał Mak,Poland,Wisła Kraków
Dani Barrio,Daniel Barrio Álvarez,Spain,CD Numancia
J. Schauerte,Julian Schauerte,Germany,SC Preußen Münster
A. N'Diaye,Alassane N'Diaye,France,Clermont Foot 63
J. Müller,Jim-Patrick Müller,Germany,SpVgg Unterhaching
M. Malaeka,Mustafa Reda Malayekah,Saudi Arabia,Al Faisaly
T. Bu Haymid,Tawfiq Bu Haymid,Saudi Arabia,Al Fateh
E. Hooi,Elson Hooi,Curacao,ADO Den Haag
Brito,Armindo Mendes Furtado,Cape Verde,Dinamo Bucureşti
K. Moleko,Kgotso Moleko,South Africa,Kaizer Chiefs
Iván Crespo,Iván Crespo Secunza,Spain,Racing Santander
I. Al Zubaidi,Ibrahim Al Zubaidi,Saudi Arabia,Al Taawoun
R. Ofosu,Reagy Ofosu,Germany,FC Botoşani
D. Imbongo Boele,Dimitry Imbongo Boele,France,SG Sonnenhof Großaspach
A. Al Sahabi,Aqeel Al Sahabi,Saudi Arabia,Al Faisaly
H. Kadish,Hassan Kadish,Saudi Arabia,Al Hilal
A. Tabanelli,Andrea Tabanelli,Italy,Lecce
Nico Hidalgo,Nicolás Hidalgo García,Spain,Racing Santander
M. Stiefler,Manuel Stiefler,Germany,Karlsruher SC
T. Thiele,Timmy Thiele,Germany,1. FC Kaiserslautern
P. Ofosu-Ayeh,Philemon Ofosu-Ayeh,Ghana,Wolverhampton Wanderers
D. Mast,Dennis  Mast,Germany,Hallescher FC
R. Nagai,永井 龍,Japan,Matsumoto Yamaga
A. Popa,Adrian Dumitru Popa,Romania,FCSB (Steaua)
Kim Nam Chun,김남춘 金南春,Korea Republic,FC Seoul
D. Powers,Dillon Powers,United States,Orlando City SC
Lee Kwang Sun,이광선 李光善,Korea Republic,Gyeongnam FC
H. Al Hazaa,Hazaa Ibrahim Al Hazaa,Saudi Arabia,Ettifaq FC
C. Erskine,Chris Erskine,Scotland,Livingston FC
I. Vásquez,Iván Vásquez,Chile,Audax Italiano
S. López,Sebastián López,Argentina,CD Cobresal
F. Hurtado,Fernando Hurtado,Chile,CD Antofagasta
D. Chica,Diego Fernando Chica López,Colombia,Cúcuta Deportivo
F. Castillo,Fabio Enrique Castillo Choco,Colombia,Jaguares de Córdoba
L. Paz,Luis Alejandro Paz Mulato,Colombia,América de Cali
S. Romero,Sergio Esteban Romero Méndez,Colombia,Atlético Bucaramanga
R. Bugueño,Rene Alexis Bugueño Zenteno,Chile,CD Cobresal
L. Giovini,Lucas Raúl Giovini Schiapino,Argentina,Unión La Calera
D. López,Darwin Guillermo López Tobías,Colombia,Jaguares de Córdoba
M. Restrepo,Andrés Mauricio Restrepo Gómez,Colombia,Rionegro Águilas
L. Delgado,Luis Enrique Delgado Mantilla,Colombia,Rionegro Águilas
L. Mosquera,Luis Hernán Mosquera Chamorro,Colombia,Atlético Huila
L. Ochoa,Lewis Alexander Ochoa Cassiani,Colombia,Once Caldas
J. Deschamps,Jorge Luis Deschamps,Chile,Curicó Unido
A. Bernal,Alejandro Bernal Ríos,Colombia,Atlético Bucaramanga
G. Hachen,Gabriel Hachen,Argentina,FC Juárez
M. Dávila,Misael Dávila,Chile,Unión Española
G. Rólantsson Sørensen,Gilli Rólantsson Sørensen,Faroe Islands,SK Brann
R. Dimitrov,Radoslav Dimitrov,Bulgaria,Sepsi OSK
L. Nielsen,Lasse Nielsen,Denmark,Lyngby BK
M. Lepe,Michael Lepe,Chile,CD Antofagasta
G. Vargas,Gabriel Vargas,Chile,Curicó Unido
Peng Xinli,彭欣力,China PR,Shanghai Greenland Shenhua FC
G. Mencia,Gustavo Ramón Mencia Dávalos,Paraguay,CD Universidad de Concepción
L. Pavez Contreras,Luis Antonio Pavez Contreras,Chile,Unión Española
L. Nequecaur,Luciano Nequecaur,Argentina,Clube Sport Marítimo
C. Diedhiou,Christophe Diedhiou,Senegal,FC Sochaux-Montbéliard
L. Tipton,Luis Alberto Tipton Palacio,Colombia,Envigado FC
R. Hollingshead,Ryan Hollingshead,United States,FC Dallas
H. Shipp,Harry Shipp,United States,Seattle Sounders FC
Kwak Hae Seong,곽해성 Hae Seong Kwak,Korea Republic,Incheon United FC
P. Mullins,Patrick Mullins,United States,Toronto FC
Ahn Yong Woo,안용우 安庸佑,Korea Republic,Sagan Tosu
J. Zwischenbrugger,Jan Zwischenbrugger,Austria,SCR Altach
Song Boxuan,宋博轩,China PR,Tianjin Quanjian FC
Fan Yunlong,范云龙,China PR,Guangzhou R&F FC
Ding Haifeng,丁海峰,China PR,Guangzhou R&F FC
Xie Pengfei,谢鹏飞,China PR,Jiangsu Suning FC
Park Dae Han,박대한 朴大韩,Korea Republic,Sangju Sangmu FC
M. Mbamba,Marc Kibong Mbamba,Cameroon,Denizlispor
K. Vermeulen,Kevin Vermeulen,Netherlands,RKC Waalwijk
I. Coulibaly,Ibréhima Coulibaly,Mauritania,Grenoble Foot 38
M. Madri,Mouaad Madri,France,Racing Club de Lens
C. Jopia,Claudio Jopia,Chile,CD Huachipato
Borja Lázaro,Borja Lázaro Fernández,Spain,CF Fuenlabrada
F. Jamnig,Florian Jamnig,Austria,SCR Altach
M. Ebenhofer,Mario  Ebenhofer,Austria,FC Botoşani
T. Pett,Tom Pett,England,Lincoln City
Xu Yang,Yang Xu,China PR,Shenzhen FC
Liu Dianzuo,刘殿座,China PR,Guangzhou Evergrande Taobao FC
R. Castro,Raúl Castro,Bolivia,Bolivia
L. Saldaña,Leonardo Enrique Saldaña Carvajal,Colombia,Alianza Petrolera
J. García,John Edison García Zabala,Colombia,La Equidad
S. Ichazo,Salvador Ichazo,Uruguay,Torino
