short_name,long_name,nationality,club
T. Hazard,Thorgan Hazard,Belgium,Borussia Dortmund
E. Forsberg,Emil Forsberg,Sweden,RB Leipzig
F. Kostić,Filip Kostić,Serbia,Eintracht Frankfurt
M. Politano,Matteo Politano,Italy,Inter
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,Portugal,SL Benfica
Pepe Reina,José Manuel  Reina Páez,Spain,Milan
D. De Rossi,Daniele De Rossi,Italy,Boca Juniors
Aduriz,Aritz Aduriz Zubeldia,Spain,Athletic Club de Bilbao
Jesús Navas,Jesús Navas González,Spain,Sevilla FC
Santi Cazorla,Santiago Cazorla González,Spain,Villarreal CF
H. Herrera,Héctor Miguel Herrera López,Mexico,Atlético Madrid
L. Biglia,Lucas Rodrigo Biglia,Argentina,Milan
L. Fabiański,Łukasz Fabiański,Poland,West Ham United
E. Viviano,Emiliano Viviano,Italy,Sporting CP
Juan Mata,Juan Manuel Mata García,Spain,Manchester United
O. Giroud,Olivier Giroud,France,Chelsea
S. Kjær,Simon Thorup Kjær,Denmark,Sevilla FC
Willian,Willian Borges da Silva,Brazil,Chelsea
V. Ćorluka,Vedran Ćorluka,Croatia,Lokomotiv Moscow
M. Arnautović,Marko Arnautović,Austria,Shanghai SIPG FC
A. Sánchez,Alexis Alejandro Sánchez Sánchez,Chile,Manchester United
Giuliano,Giuliano Victor de Paula,Brazil,Al Nassr
A. Kolarov,Aleksandar Kolarov,Serbia,Roma
M. Balotelli,Mario  Barwuah Balotelli,Italy,Brescia
Marlos,Marlos Romero Bonfim,Ukraine,Shakhtar Donetsk
Taison,Taison Barcellos Freda,Brazil,Shakhtar Donetsk
B. Dost,Bas Dost,Netherlands,Sporting CP
G. Bonaventura,Giacomo Bonaventura,Italy,Milan
Pedro,Pedro Eliezer Rodríguez Ledesma,Spain,Chelsea
L. de Jong,Luuk de Jong,Netherlands,Sevilla FC
S. El Shaarawy,Stephan El Shaarawy,Italy,Shanghai Greenland Shenhua FC
Ander Herrera,Ander Herrera Agüera,Spain,Paris Saint-Germain
X. Shaqiri,Xherdan Shaqiri,Switzerland,Liverpool
Mário Fernandes,Mário Figueira Fernandes,Russia,PFC CSKA Moscow
S. Coates,Sebastián Coates Nión,Uruguay,Sporting CP
C. Bakambu,Cédric Bakambu,DR Congo,Beijing Sinobo Guoan FC
T. Meunier,Thomas Meunier,Belgium,Paris Saint-Germain
K. Bellarabi,Karim Bellarabi,Germany,Bayer 04 Leverkusen
J. Lingard,Jesse Lingard,England,Manchester United
Q. Promes,Quincy Anton Promes,Netherlands,Ajax
J. Vardy,Jamie Vardy,England,Leicester City
D. Zapata,Duván Zapata,Colombia,Atalanta
Morales,José Luis Morales Nogales,Spain,Levante UD
Raphaelito Anjos,Raphael William Anjos Rochedo,Brazil,Grêmio
Juiano Mestres,Juan Everton Mestres de Mesquita,Brazil,Cruzeiro
Rosberto Dourado,Rosberto J. Dourado Santos,Brazil,Atlético Mineiro
E. Schetino,Egidio Maestre Schetino,Uruguay,Uruguay
J. Sildero,José María Sildero,Uruguay,Uruguay
L. Martínez,Lautaro Martínez,Argentina,Inter
H. Aouar,Houssem Aouar,France,Olympique Lyonnais
T. Ndombele,Tanguy NDombèlé Alvaro,France,Tottenham Hotspur
Éder Militão,Éder Gabriel Militão,Brazil,Real Madrid
A. Cragno,Alessio Cragno,Italy,Cagliari
D. van de Beek,Donny van de Beek,Netherlands,Ajax
V. Lindelöf,Victor Nilsson Lindelöf,Sweden,Manchester United
Dani Ceballos,Daniel Ceballos Fernández,Spain,Arsenal
Pablo Fornals,Pablo Fornals Malla,Spain,West Ham United
E. Can,Emre Can,Germany,Juventus
Gayà,José Luís Gayà Peña,Spain,Valencia CF
David Neres,David Neres Campos,Brazil,Ajax
P. Zieliński,Piotr Zieliński,Poland,Napoli
G. Rulli,Gerónimo Rulli,Argentina,Montpellier HSC
G. Xhaka,Granit Xhaka,Switzerland,Arsenal
Rafinha,Rafael Alcântara do Nascimento,Brazil,FC Barcelona
G. Kondogbia,Geoffrey Kondogbia,Central African Rep.,Valencia CF
M. Sabitzer,Marcel Sabitzer,Austria,RB Leipzig
L. Shaw,Luke Shaw,England,Manchester United
J. Martínez,Josef Alexander Martínez,Venezuela,Atlanta United
A. Doucouré,Abdoulaye Doucouré,France,Watford
W. Ndidi,Onyinye Wilfred Ndidi,Nigeria,Leicester City
T. Horn,Timo Horn,Germany,1. FC Köln
W. Orban,Willi Orban,Hungary,RB Leipzig
A. Plea,Alassane Plea,France,Borussia Mönchengladbach
Y. Poulsen,Yussuf Yurary Poulsen,Denmark,RB Leipzig
R. Fraser,Ryan Fraser,Scotland,Bournemouth
M. Ginter,Matthias Ginter,Germany,Borussia Mönchengladbach
R. Guerreiro,Raphaël Guerreiro,Portugal,Borussia Dortmund
João Mário,João Mário Naval Costa Eduardo,Portugal,Inter
Thiago Mendes,Thiago Henrique Mendes Ribeiro,Brazil,Olympique Lyonnais
A. Izzo,Armando Izzo,Italy,Torino
M. Brozović,Marcelo Brozović,Croatia,Inter
A. Ljajić,Adem Ljajić,Serbia,Beşiktaş JK
J. Corona,Jesús Corona,Mexico,FC Porto
Jordi Masip,Jordi Masip López,Spain,Real Valladolid CF
T. Vaclík,Tomáš Vaclík,Czech Republic,Sevilla FC
L. Milivojević,Luka Milivojević,Serbia,Crystal Palace
Gerard Moreno,Gerard Moreno Balagueró,Spain,Villarreal CF
W. Weghorst,Wout Weghorst,Netherlands,VfL Wolfsburg
Quaresma,Ricardo Andrade Quaresma Bernardo,Portugal,Beşiktaş JK
J. Mathieu,Jérémy Mathieu,France,Sporting CP
J. Milner,James Philip Milner,England,Liverpool
L. López,Lisandro López,Argentina,Racing Club
B. Gomis,Bafétimbi Gomis,France,Al Hilal
M. Dembélé,Moussa Sidi Yaya Dembélé,Belgium,Guangzhou R&F FC
Cesc Fàbregas,Francesc Fàbregas i Soler,Spain,AS Monaco
A. Consigli,Andrea Consigli,Italy,Sassuolo
L. Koscielny,Laurent Koscielny,France,FC Girondins de Bordeaux
Jardel,Jardel Nivaldo Vieira,Brazil,SL Benfica
Renato Augusto,Renato  Soares de Oliveira Augusto,Brazil,Beijing Sinobo Guoan FC
José Fonte,José Miguel da Rocha Fonte,Portugal,LOSC Lille
A. Guardado,José Andrés Guardado Hernández,Mexico,Real Betis
L. Piszczek,Łukasz Piszczek,Poland,Borussia Dortmund
K. Gameiro,Kévin Gameiro,France,Valencia CF
D. Payet,Dimitri  Payet,France,Olympique de Marseille
Beñat,Beñat Etxebarria Urkiaga,Spain,Athletic Club de Bilbao
Adán,Antonio Adán Garrido,Spain,Atlético Madrid
B. Höwedes,Benedikt Höwedes,Germany,Lokomotiv Moscow
F. Muslera,Fernando Muslera,Uruguay,Galatasaray SK
M. Sissoko,Moussa Sissoko,France,Tottenham Hotspur
M. Parolo,Marco Parolo,Italy,Lazio
Fernando,Fernando Francisco Reges,Brazil,Sevilla FC
N. Gaitán,Osvaldo Nicolás Fabián Gaitán,Argentina,Chicago Fire
S. Giovinco,Sebastian Giovinco,Italy,Al Hilal
Luiz Gustavo,Luiz Gustavo Dias,Brazil,Olympique de Marseille
N. Nkoulou,Nicolas N'Koulou,Cameroon,Torino
N. Matić,Nemanja Matić,Serbia,Manchester United
Marcos Alonso,Marcos Alonso Mendoza,Spain,Chelsea
H. Mkhitaryan,Henrikh Mkhitaryan,Armenia,Arsenal
André Almeida,André Gomes Magalhaes de Almeida,Portugal,SL Benfica
A. Florenzi,Alessandro  Florenzi,Italy,Roma
E. Zahavi,Eran Zahavi,Israel,Guangzhou R&F FC
F. Vázquez,Franco Vázquez,Argentina,Sevilla FC
Lucas Vázquez,Lucas Vázquez Iglesias,Spain,Real Madrid
Dani García,Daniel García Carrillo,Spain,Athletic Club de Bilbao
M. Acuña,Marcos Javier Acuña,Argentina,Sporting CP
Laure Santeiro,Laureano Thomas Santeiro Marre,Brazil,Fluminense
J. Frendado,Jaime Nicolás Frendado,Uruguay,Uruguay
S. Ardero,Saúl Marcelo Ardero,Uruguay,Uruguay
L. Dálves,Luis Roberto Dálves,Uruguay,Uruguay
S. Mandíquez,Segundo Mandíquez,Ecuador,Ecuador
João Félix,João Félix Sequeira,Portugal,Atlético Madrid
N. Barella,Nicolò Barella,Italy,Inter
J. Gomez,Joe Gomez,England,Liverpool
A. Christensen,Andreas Christensen,Denmark,Chelsea
M. Maignan,Mike Maignan,France,LOSC Lille
Y. Tielemans,Youri Tielemans,Belgium,Leicester City
Mario Hermoso,Mario Hermoso Canseco,Spain,Atlético Madrid
Carlos Soler,Carlos Soler Barragán,Spain,Valencia CF
M. Caldara,Mattia Caldara,Italy,Milan
H. Winks,Harry Winks,England,Tottenham Hotspur
K. Piątek,Krzysztof Piątek,Poland,Milan
Diogo Jota,Diogo José Teixeira da Silva,Portugal,Wolverhampton Wanderers
Marcos Llorente,Marcos Llorente Moreno,Spain,Atlético Madrid
F. Mendy,Ferland Mendy,France,Real Madrid
Melendo,Óscar Melendo Jiménez,Spain,RCD Espanyol
Rúben Dias,Rúben Alves Dias,Portugal,SL Benfica
D. Livaković,Dominik Livaković,Croatia,Dinamo Zagreb
Héctor Bellerín,Héctor Bellerín Moruno,Spain,Arsenal
B. Mendy,Benjamin Mendy,France,Manchester City
M. Dembélé,Moussa Dembélé,France,Olympique Lyonnais
O. Vlachodimos,Odisseas Vlachodimos,Greece,SL Benfica
Santi Mina,Santiago Mina Lorenzo,Spain,RC Celta
Rony Lopes,Marcos Paulo Mesquita Lopes,Portugal,Sevilla FC
J. Correa,Joaquín Correa,Argentina,Lazio
T. Bakayoko,Tiémoué Bakayoko,France,Chelsea
M. Eggestein,Maximilian Eggestein,Germany,SV Werder Bremen
Odriozola,Álvaro Odriozola Arzalluz,Spain,Real Madrid
M. Gómez,Maximiliano Gómez,Uruguay,Valencia CF
Sergi Darder,Sergi Darder Moll,Spain,RCD Espanyol
K. Zouma,Kurt Happy Zouma,France,Chelsea
L. Paredes,Leandro Paredes,Argentina,Paris Saint-Germain
N. Aké,Nathan Aké,Netherlands,Bournemouth
E. Hysaj,Elseid Hysaj,Albania,Napoli
André Gomes,André Filipe Tavares Gomes,Portugal,Everton
K. Baldé,Keita Baldé,Senegal,AS Monaco
J. Weigl,Julian Weigl,Germany,Borussia Dortmund
V. Rongier,Valentin Rongier,France,FC Nantes
